## Mean, standard deviation, standard error (sd/sqrt(n)), and number of answers to the question "How happy are you?"
## on a 0(extremely unhappy)-10(extremely happy) scale, as computed from the data table corresponding to the ESS from 2002 to 2012
## downloaded from http://www.europeansocialsurvey.org/.
## The data can be found in the module "Subjective Well-Being, Social Exclusion, Religion, National and Ethnic Identity".
## Mathieu Kessler, Universidad Politécnica de Cartagena, January 20th, 2014.
"Country";"year";"mean";"sd";"n";"se"
"Austria";2002;7.57;1.98660855890676;2246;0.0419186633781779
"Austria";2004;7.493;1.90189002944637;2236;0.040220688635621
"Austria";2006;7.444;1.97538516818455;2377;0.0405169921955837
"Belgium";2002;7.758;1.62672493888655;1891;0.0374083334191605
"Belgium";2004;7.744;1.51890183194854;1775;0.0360520966950714
"Belgium";2006;7.67;1.57093789325003;1797;0.0370582559961811
"Belgium";2008;7.642;1.62136595288079;1757;0.0386807751186525
"Belgium";2010;7.818;1.45098116414391;1704;0.0351501335546353
"Belgium";2012;7.699;1.50493252908411;1869;0.0348106697318207
"Bulgaria";2006;5.229;2.55661675646244;1343;0.0697633978166575
"Bulgaria";2008;5.212;2.65508032086164;2204;0.05655511224919
"Bulgaria";2010;5.432;2.59401926652573;2420;0.0527309401354152
"Bulgaria";2012;5.273;2.69090496189153;2228;0.0570086512456295
"Croatia";2008;6.814;2.07104366577423;1474;0.0539436729793882
"Croatia";2010;6.59;2.15536097440437;1635;0.053304164022445
"Cyprus";2006;7.696;1.73194358744206;992;0.0549892638905767
"Cyprus";2008;7.472;1.65400379115513;1212;0.0475100175397778
"Cyprus";2010;7.274;1.94991175922773;1051;0.0601469487278435
"Cyprus";2012;7.192;2.08926441300028;1106;0.0628225908981106
"Czech Republic";2002;6.747;2.08409041841194;1348;0.0567638195576099
"Czech Republic";2004;6.812;2.00133189111135;2996;0.0365635378831126
"Czech Republic";2008;6.843;1.90419863601791;2002;0.0425579022939169
"Czech Republic";2010;6.586;1.94365515955631;2367;0.0399503038311586
"Czech Republic";2012;6.648;2.04703792337316;1963;0.0462025279752424
"Denmark";2002;8.314;1.46022842866396;1489;0.0378419450232408
"Denmark";2004;8.3;1.46043806811637;1481;0.0379494613178765
"Denmark";2006;8.324;1.40059137938139;1490;0.0362842637142727
"Denmark";2008;8.366;1.34993219233865;1603;0.0337167101956967
"Denmark";2010;8.287;1.41887037078117;1571;0.0357976590407087
"Denmark";2012;8.373;1.50020214236452;1645;0.0369885094123043
"Estonia";2004;6.27;2.0521591363492;1978;0.0461421569234883
"Estonia";2006;6.791;1.94587262505658;1484;0.050512336520876
"Estonia";2008;6.689;1.97154920809182;1644;0.0486246753310578
"Estonia";2010;6.905;1.92876275565929;1792;0.0455627374064117
"Estonia";2012;6.82;2.03053690598344;2369;0.0417184685102658
"Finland";2002;8.023;1.48144207434038;1995;0.0331675371956077
"Finland";2004;8.059;1.40195094507513;2018;0.0312084526776279
"Finland";2006;8.009;1.41032577164003;1894;0.0324063004921931
"Finland";2008;8.016;1.43653308389057;2191;0.0306898272350183
"Finland";2010;7.957;1.44892627988586;1877;0.0334436872298322
"Finland";2012;8.086;1.345457008805;2193;0.0287309846118013
"France";2002;7.336;1.9073393245123;1503;0.0491981160544528
"France";2004;7.19;1.91623844853469;1804;0.0451160722270275
"France";2006;7.155;1.75558659438522;1982;0.0394339635661364
"France";2008;7.102;1.78792682884787;2071;0.0392879792558699
"France";2010;6.985;1.83430441316583;1726;0.044152064473946
