## Frequencies(%) of answers to several questions of the module  "Personal and Social Well-Being"
## as prepared  from the data table corresponding to the ESS 2012
## downloaded from http://www.europeansocialsurvey.org/.
## Mathieu Kessler, Universidad Politécnica de Cartagena, January 20th, 2014.
"Pais";"Pregunta";"Respuesta";"Porcentaje"
"Belgium";"Felt anxious, how often past week";"None or almost none of the time";30.1714898177921
"Bulgaria";"Felt anxious, how often past week";"None or almost none of the time";16.5701559020045
"Switzerland";"Felt anxious, how often past week";"None or almost none of the time";36.260053619303
"Cyprus";"Felt anxious, how often past week";"None or almost none of the time";30.3683737646002
"Czech Republic";"Felt anxious, how often past week";"None or almost none of the time";57.75950668037
"Germany";"Felt anxious, how often past week";"None or almost none of the time";80.8121827411168
"Denmark";"Felt anxious, how often past week";"None or almost none of the time";78.6855036855037
"Estonia";"Felt anxious, how often past week";"None or almost none of the time";40.9110080134964
"Spain";"Felt anxious, how often past week";"None or almost none of the time";65.3866666666667
"Finland";"Felt anxious, how often past week";"None or almost none of the time";66.1172161172161
"United Kingdom";"Felt anxious, how often past week";"None or almost none of the time";54.0386303775241
"Ireland";"Felt anxious, how often past week";"None or almost none of the time";56.2046582665139
"Israel";"Felt anxious, how often past week";"None or almost none of the time";67.9336837848767
"Iceland";"Felt anxious, how often past week";"None or almost none of the time";63.8666666666667
"Netherlands";"Felt anxious, how often past week";"None or almost none of the time";31.0363537710255
"Norway";"Felt anxious, how often past week";"None or almost none of the time";81.8181818181818
"Poland";"Felt anxious, how often past week";"None or almost none of the time";60.3531300160514
"Portugal";"Felt anxious, how often past week";"None or almost none of the time";39.5998138669148
"Russian Federation";"Felt anxious, how often past week";"None or almost none of the time";28.518821603928
"Sweden";"Felt anxious, how often past week";"None or almost none of the time";61.1050920910076
"Slovenia";"Felt anxious, how often past week";"None or almost none of the time";72.0223820943245
"Slovakia";"Felt anxious, how often past week";"None or almost none of the time";43.9410480349345
"Kosovo";"Felt anxious, how often past week";"None or almost none of the time";47.9285134037368
