"Periodo";"Comunidad";"Total";"Grupo 1. Alimentos y bebidas no alcohólicas";"Grupo 2. Bebidas alcohólicas, tabaco y narcóticos";"Grupo 3. Artículos de vestir y calzado";"Grupo 4. Vivienda, agua, electricidad, gas y otros combustibles";"Grupo 5. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda";"Grupo 6. Salud";"Grupo 7. Transportes";"Grupo 8. Comunicaciones";"Grupo 9. Ocio, espectáculos y cultura";"Grupo 10. Enseñanza";"Grupo 11. Hoteles, cafés y restaurantes";"Grupo 12. Otros bienes y servicios"
"2013";"Andalucía";9140.31;1505.66;207.57;466.67;2899.09;411.64;259.44;1093.69;296.91;488.49;84.11;764.77;662.28
"2013";"Aragón";11331.99;1729.7;238.21;569.22;3789.65;476.86;418.47;1217.02;345.81;649.74;137.7;936.96;822.65
"2013";"Asturias, Principado de";11193.69;1673.27;224.28;560.69;3773.37;447.64;395.07;1135.37;347.13;672.44;85;985.14;894.3
"2013";"Balears, Illes";10962.81;1496.22;203.41;496.97;3923.63;480.48;286.96;1279.64;378.16;607.32;122.82;847.85;839.34
"2013";"Canarias";8465.16;1440.22;120.64;371.53;2581.65;373.89;266.11;1104.69;323.98;499.66;90.34;624.79;667.66
"2013";"Cantabria";11063.94;1526.87;211.2;554.27;3705.68;470.31;308.63;1383.65;332.12;653.11;98.57;939.86;879.68
"2013";"Castilla y León";10424.75;1683.97;201.07;503;3498.08;364.11;358.85;1126.91;317.89;659.23;98.08;850.2;763.37
"2013";"Castilla - La Mancha";9321.49;1499.03;218.43;468.25;3038.09;368.92;317.69;1153.81;285.94;461.14;76.7;746.14;687.36
"2013";"Cataluña";11709.74;1755.57;213.87;589.6;3909.71;476.37;405.83;1336.04;343.86;683.79;201.61;905.83;887.67
"2013";"Comunitat Valenciana";9970.77;1544.11;218.28;510.68;3132.89;409.5;354.85;1145.13;307.63;616.2;129.84;844.79;756.87
"2013";"Extremadura";8940.94;1404.28;219.53;496.6;2832.09;385.82;270.77;1091.64;298.02;490.91;76.05;708.48;666.77
"2013";"Galicia";10223.8;1749.56;213.02;583.79;3098.02;494.33;375.47;1245.07;295.67;477.74;90.85;781.5;818.79
"2013";"Madrid, Comunidad de";12850.39;1612.57;224.46;550.2;4614.98;533.53;362.95;1499.27;359.89;734.75;252.31;1107.03;998.46
"2013";"Murcia, Región de";9400.28;1553.21;202.4;530.72;2763.45;441.45;297.39;1188.72;287.16;572.12;85.71;769.85;708.09
"2013";"Navarra, Comunidad Foral de";12212.43;1762.59;195.88;654.75;4100.43;500.2;326.72;1329.44;341.75;754.82;212.5;1225.33;808.04
"2013";"País Vasco";13572.53;1923.05;234.91;724.39;4787.86;602.83;443.08;1233.09;377.34;723.99;216.58;1317.45;987.96
"2013";"Rioja, La";10940.56;1657.83;194.57;484.33;3721.88;431.21;366.33;1114.49;316.39;644.59;81.11;1098.2;829.61
