"Country";"Subjects";"Alcoholic beverages";"Cereals & cereal products";"Coffee, tea, cocoa (expressed as liquid)";"Eggs";"Fats (vegetable and animal)";"Fish and seafood";"Fruit and vegetable juices, soft drinks and bottle";"Fruits";"Meat and meat products, offal";"Milk and dairy based products";"Miscellaneous / Food for special dietary uses";"Starchy roots or potatoes";"Sugar & sugar products including chocolate";"Vegetables, nuts, pulses including carrots, tomato"
"Austria";2123;117.458784738577;329.705661799341;443.419689119171;5.25418276024494;12.3298445595855;16.2667498822421;448.500706547339;202.090485162506;185.793787093735;171.339335845502;12.8067922750824;58.9275223739991;23.0754733867169;211.449312293924
"Belgium";1723;213.814562343544;245.244415496587;432.291590262675;9.67135535320777;45.7314352615202;25.1234189883776;944.707893228244;112.722647129476;122.767837909411;202.596341026559;1.81939039670517;95.0820944739734;30.6140941256143;229.539689591609
"Bulgaria";853;101.698730249707;256.990709446073;120.381008206331;20.8455329044549;39.2283952957796;19.834539003517;207.3898007034;70.4358675916765;114.448612559203;168.825115905744;12.5638928928371;83.2271498710434;39.703391343728;209.541581889801
"Czech Republic";1751;413.426632840765;274.004142805311;558.81067961165;19.9570474884637;47.838596372587;18.9305452604226;618.340948029697;122.21597649249;187.132239292404;186.39440416602;14.5106015930154;103.289966800611;38.98220848502;130.925417778926
"Denmark";3150;291.709694908255;217.375696620227;835.665966958215;16.019744222;35.5425520444434;18.0408167305908;340.063921871778;150.09641954439;135.248913501838;385.9439667685;4.77312941637518;112.01058105916;43.4758900435669;165.659712326829
"Estonia";2010;161.9407960199;185.477810945274;338.911492537313;27.2599502487562;32.2457711442786;23.2745273631841;264.170796019901;153.889950248756;156.708756218905;310.005323383085;3.17353233830845;200.618955223881;21.1997512437811;204.583432835821
"Finland";2007;139.101099899552;153.272501618834;579.700228642352;17.3864627154659;39.7855757749527;27.1652123249626;212.816030722073;121.29574568428;120.004319321525;437.000895012456;24.0144105065297;94.9189105044094;42.2935495896043;134.507663737847
"France";1195;162.665372384937;317.486142259414;282.010485355649;18.3155313807531;27.8150376569038;36.6607447698745;388.849456066947;132.380661087866;202.23569874477;264.581372384937;1.81308786610879;66.7057907949791;31.2596903765691;210.256995815899
"Germany";3550;231.362558699297;286.682601006125;690.54319246822;23.368437211091;29.0988204153285;18.6269217900844;946.975076896653;189.910135436817;166.564842120358;313.135038375525;36.1794055085654;124.922836937897;44.9672737163402;252.092441248611
"Hungary";927;75.9094929881338;251.797303128371;175.700323624595;27.2742179072276;53.5298813376484;9.03203883495145;279.984250269687;179.590722761597;185.718446601942;265.38932038835;16.9903991370011;109.805501618123;38.8126213592233;190.84455231931
"Iceland";1075;103.941395348837;275.623255813954;429.201860465116;11.4790697674419;32.7581395348837;36.6241860465116;426.099534883721;70.6520930232558;110.126511627907;442.219534883721;23.1813953488372;78.7395348837209;30.8297674418605;124.907906976744
"Ireland";1373;335.071822455167;227.026992421595;714.015938241806;19.6856029009177;36.33031258004;23.9613361065331;179.031555241709;105.66109599346;147.814483691551;306.17845060075;12.6694358596519;229.006031286234;41.0107498602623;243.75308786453
"Italy";1544;126.254674312014;270.975476474741;123.880074077461;17.7709247302461;35.6999999443006;43.3479871660272;383.944031517662;202.582186983031;137.073671255557;212.01073001535;5.33045953154792;48.1100240302461;19.4882858816904;248.795153954664
"Netherlands";4285;205.865957992999;220.32246907818;886.507584597433;15.4396119019837;47.7511631271879;13.2172975495916;295.715810968495;106.752782730455;151.941185530922;387.867346557759;6.23721493582263;128.17096126021;43.1402504084014;193.16337689615
"Norway";2321;123.015941404567;191.738302455838;603.93472641103;20.774752261956;40.8654459284791;62.6741921585523;490.686385178801;119.10741059888;108.882162860836;521.979836277467;11.5961223610513;133.344506678156;46.739336492891;139.711503662214
"Poland";2692;67.7284546805349;311.932007384843;691.912444279346;31.3110464933135;59.9018578566121;18.9064257912333;236.563446857355;282.16545634101;259.37716365156;180.513434056464;7.24183230312038;303.962414855125;57.0112687704308;294.602013417533
"Slovakia";2208;64.1462862318841;344.724184782609;461.46240942029;13.1123188405797;29.0534420289855;9.40217391304348;382.489583333333;115.701539855072;156.470561594203;91.3555253623188;5.52445652173913;96.2703804347826;69.0910326086957;163.625905797101
"Sweden";1088;191.247279411765;290.629855238971;575.40533059283;14.2284889705882;23.8913193933824;33.7487610294117;328.511892215993;119.360630514706;150.084230698529;385.544814246323;15.5621647977941;137.705957720588;28.3346600183824;117.836436580882
"United Kingdom";1724;313.33346161342;248.988822024495;724.473516516002;19.0443061099914;19.7427341758849;31.0874178528436;325.056963651997;95.0853662657302;160.773924433574;250.782458227002;17.3158236986333;111.56604081897;26.7376289572087;162.976273123343
