"FechaHora";"NO2";"SO2";"Rui";"O3";"anio";"mes";"diadelmes";"diadelasemana";"hora"
2006-01-01 00:00:00;15;57;NA;NA;2006;1;1;0;0
2006-01-01 01:00:00;18;22;NA;NA;2006;1;1;0;1
2006-01-01 02:00:00;15;32;NA;NA;2006;1;1;0;2
2006-01-01 03:00:00;19;81;NA;NA;2006;1;1;0;3
2006-01-01 04:00:00;21;35;NA;NA;2006;1;1;0;4
2006-01-01 05:00:00;21;19;NA;NA;2006;1;1;0;5
2006-01-01 06:00:00;21;10;NA;NA;2006;1;1;0;6
2006-01-01 07:00:00;21;19;NA;NA;2006;1;1;0;7
2006-01-01 08:00:00;19;8;NA;NA;2006;1;1;0;8
2006-01-01 09:00:00;21;21;NA;NA;2006;1;1;0;9
2006-01-01 10:00:00;19;45;NA;NA;2006;1;1;0;10
2006-01-01 11:00:00;20;11;NA;NA;2006;1;1;0;11
2006-01-01 12:00:00;22;5;NA;NA;2006;1;1;0;12
2006-01-01 13:00:00;21;4;NA;NA;2006;1;1;0;13
2006-01-01 14:00:00;21;6;NA;NA;2006;1;1;0;14
2006-01-01 15:00:00;21;4;NA;NA;2006;1;1;0;15
2006-01-01 16:00:00;21;7;NA;NA;2006;1;1;0;16
2006-01-01 17:00:00;20;8;NA;NA;2006;1;1;0;17
2006-01-01 18:00:00;20;6;NA;NA;2006;1;1;0;18
2006-01-01 19:00:00;19;5;NA;NA;2006;1;1;0;19
2006-01-01 20:00:00;20;5;NA;NA;2006;1;1;0;20
2006-01-01 21:00:00;19;7;NA;NA;2006;1;1;0;21
2006-01-01 22:00:00;20;3;NA;NA;2006;1;1;0;22
2006-01-01 23:00:00;20;5;NA;NA;2006;1;1;0;23
2006-01-02 00:00:00;20;7;NA;NA;2006;1;2;1;0
2006-01-02 01:00:00;23;7;NA;NA;2006;1;2;1;1
2006-01-02 02:00:00;25;12;NA;NA;2006;1;2;1;2
2006-01-02 03:00:00;27;7;NA;NA;2006;1;2;1;3
2006-01-02 04:00:00;28;2;NA;NA;2006;1;2;1;4
2006-01-02 05:00:00;21;5;NA;NA;2006;1;2;1;5
2006-01-02 06:00:00;21;13;NA;NA;2006;1;2;1;6
2006-01-02 07:00:00;21;13;NA;NA;2006;1;2;1;7
2006-01-02 08:00:00;21;17;NA;NA;2006;1;2;1;8
2006-01-02 09:00:00;21;30;NA;NA;2006;1;2;1;9
2006-01-02 10:00:00;20;55;NA;NA;2006;1;2;1;10
2006-01-02 11:00:00;20;38;NA;NA;2006;1;2;1;11
2006-01-02 12:00:00;20;6;NA;NA;2006;1;2;1;12
2006-01-02 13:00:00;20;4;NA;NA;2006;1;2;1;13
2006-01-02 14:00:00;20;4;NA;NA;2006;1;2;1;14
2006-01-02 15:00:00;17;7;NA;NA;2006;1;2;1;15
2006-01-02 16:00:00;18;7;NA;NA;2006;1;2;1;16
2006-01-02 17:00:00;17;5;NA;NA;2006;1;2;1;17
2006-01-02 18:00:00;14;4;NA;NA;2006;1;2;1;18
2006-01-02 19:00:00;14;11;NA;NA;2006;1;2;1;19
2006-01-02 20:00:00;19;47;NA;NA;2006;1;2;1;20
2006-01-02 21:00:00;18;46;NA;NA;2006;1;2;1;21
2006-01-02 22:00:00;17;5;NA;NA;2006;1;2;1;22
2006-01-02 23:00:00;17;5;NA;NA;2006;1;2;1;23
2006-01-03 00:00:00;17;6;NA;NA;2006;1;3;2;0
2006-01-03 01:00:00;17;4;NA;NA;2006;1;3;2;1
2006-01-03 02:00:00;16;7;NA;NA;2006;1;3;2;2
2006-01-03 03:00:00;17;7;NA;NA;2006;1;3;2;3
2006-01-03 04:00:00;18;5;NA;NA;2006;1;3;2;4
2006-01-03 05:00:00;17;7;NA;NA;2006;1;3;2;5
2006-01-03 06:00:00;17;6;NA;NA;2006;1;3;2;6
2006-01-03 07:00:00;18;4;NA;NA;2006;1;3;2;7
2006-01-03 08:00:00;19;40;NA;NA;2006;1;3;2;8
2006-01-03 09:00:00;20;138;NA;NA;2006;1;3;2;9
2006-01-03 10:00:00;19;99;NA;NA;2006;1;3;2;10
2006-01-03 11:00:00;20;14;NA;NA;2006;1;3;2;11
2006-01-03 12:00:00;20;5;NA;NA;2006;1;3;2;12
2006-01-03 13:00:00;19;13;NA;NA;2006;1;3;2;13
2006-01-03 14:00:00;15;5;NA;NA;2006;1;3;2;14
2006-01-03 15:00:00;11;4;NA;NA;2006;1;3;2;15
2006-01-03 16:00:00;8;7;NA;NA;2006;1;3;2;16
2006-01-03 17:00:00;10;4;NA;NA;2006;1;3;2;17
2006-01-03 18:00:00;10;6;NA;NA;2006;1;3;2;18
2006-01-03 19:00:00;17;69;NA;NA;2006;1;3;2;19
2006-01-03 20:00:00;16;210;NA;NA;2006;1;3;2;20
2006-01-03 21:00:00;12;159;NA;NA;2006;1;3;2;21
2006-01-03 22:00:00;9;9;NA;NA;2006;1;3;2;22
2006-01-03 23:00:00;11;8;NA;NA;2006;1;3;2;23
2006-01-04 00:00:00;16;14;NA;NA;2006;1;4;3;0
2006-01-04 01:00:00;16;9;NA;NA;2006;1;4;3;1
2006-01-04 02:00:00;15;7;NA;NA;2006;1;4;3;2
2006-01-04 03:00:00;15;6;NA;NA;2006;1;4;3;3
2006-01-04 04:00:00;17;8;NA;NA;2006;1;4;3;4
2006-01-04 05:00:00;15;10;NA;NA;2006;1;4;3;5
2006-01-04 06:00:00;18;9;NA;NA;2006;1;4;3;6
2006-01-04 07:00:00;14;69;NA;NA;2006;1;4;3;7
2006-01-04 08:00:00;17;118;NA;NA;2006;1;4;3;8
2006-01-04 09:00:00;19;145;NA;NA;2006;1;4;3;9
2006-01-04 10:00:00;52;116;NA;NA;2006;1;4;3;10
2006-01-04 11:00:00;17;40;NA;NA;2006;1;4;3;11
2006-01-04 12:00:00;16;27;NA;NA;2006;1;4;3;12
2006-01-04 13:00:00;13;8;NA;NA;2006;1;4;3;13
2006-01-04 14:00:00;28;9;NA;NA;2006;1;4;3;14
2006-01-04 15:00:00;23;8;NA;NA;2006;1;4;3;15
2006-01-04 16:00:00;18;7;NA;NA;2006;1;4;3;16
2006-01-04 17:00:00;19;9;NA;NA;2006;1;4;3;17
